species,observation_year,observations
"Canis lupus",2000,5
"Canis lupus",2001,2
"Canis lupus",2002,8
"Canis lupus",2003,30
"Canis lupus",2004,10
"Canis lupus",2005,55
"Canis lupus",2006,31
"Canis lupus",2007,10
"Canis lupus",2008,40
"Canis lupus",2009,26
"Canis lupus",2010,27
"Canis lupus",2011,33
"Canis lupus",2012,39
"Canis lupus",2013,29
"Canis lupus",2014,40
"Canis lupus",2015,32
"Canis lupus",2016,61
"Canis lupus",2017,99
"Canis lupus",2018,157
"Canis lupus",2019,248
"Canis lupus",2020,246
"Canis lupus",2021,351
"Canis lupus",2022,346
"Canis lupus",2023,374
"Canis lupus",2024,486
"Haliaeetus leucocephalus",2000,7827
"Haliaeetus leucocephalus",2001,7749
"Haliaeetus leucocephalus",2002,9120
"Haliaeetus leucocephalus",2003,11588
"Haliaeetus leucocephalus",2004,14010
"Haliaeetus leucocephalus",2005,15439
"Haliaeetus leucocephalus",2006,20360
"Haliaeetus leucocephalus",2007,26197
"Haliaeetus leucocephalus",2008,32902
"Haliaeetus leucocephalus",2009,45207
"Haliaeetus leucocephalus",2010,61339
"Haliaeetus leucocephalus",2011,81769
"Haliaeetus leucocephalus",2012,118330
"Haliaeetus leucocephalus",2013,154002
"Haliaeetus leucocephalus",2014,195349
"Haliaeetus leucocephalus",2015,229119
"Haliaeetus leucocephalus",2016,283211
"Haliaeetus leucocephalus",2017,342207
"Haliaeetus leucocephalus",2018,409953
"Haliaeetus leucocephalus",2019,474016
"Haliaeetus leucocephalus",2020,579580
"Haliaeetus leucocephalus",2021,692007
"Haliaeetus leucocephalus",2022,721616
"Haliaeetus leucocephalus",2023,778445
"Haliaeetus leucocephalus",2024,829839
"Ursus americanus",2000,70
"Ursus americanus",2001,56
"Ursus americanus",2002,42
"Ursus americanus",2003,75
"Ursus americanus",2004,95
"Ursus americanus",2005,95
"Ursus americanus",2006,112
"Ursus americanus",2007,148
"Ursus americanus",2008,131
"Ursus americanus",2009,161
"Ursus americanus",2010,188
"Ursus americanus",2011,244
"Ursus americanus",2012,264
"Ursus americanus",2013,329
"Ursus americanus",2014,371
"Ursus americanus",2015,541
"Ursus americanus",2016,670
"Ursus americanus",2017,942
"Ursus americanus",2018,1589
"Ursus americanus",2019,2048
"Ursus americanus",2020,2608
"Ursus americanus",2021,2728
"Ursus americanus",2022,3415
"Ursus americanus",2023,3917
"Ursus americanus",2024,4637
